俳句,作者,季語,季節,出典,前書,評言,評者,備考
木の股に少年をおく遠花火,山本千之,花火,夏,遠花火,,山本千之はヒューマニストであると同時にロマンチストである。掲句の少年が作者自身であるとすれば、孤独者であったとも言えよう。専攻は数学であり、俳句の表現に於いても読者の心の動きを計算できる俳人だった。戦争中にも、戦後も、思想的には激動期にあったわれわれの世代にあって、なかなか自分の考えを表に出せなかった。その時代にあって、俳句は唯一自分の思想を吐露できる場であったと言えよう。青年時代に太田鴻村の「林苑」に参加、大阪に勤務地を移した後は、赤尾兜子の「渦」に参加、同人会長代行まで勤め上げた。その後、「一粒」代表を引き受け、その発展に貢献する傍ら、平成18（2006）年の8月この世を去るまでの、関西現代俳句協会々長を勤め上げた。この俳人にはいくつかの屈折点があった。そして、その屈折点を乗り越えるごとに新しい分野への挑戦を繰り返した。全てを投げ出した時に彼は次へのステップを踏み出すことが出来たように思う。ことばを追い、ことばを弄んだ時代から抜け出した彼は難解な俳句と言われる時代が続いた。その難解な時代を抜け出し、人生の苦悩を味わった時代こそ、次々に名作を産出した。二三の句を紹介して、筆を閉じよう。冬の日をまんぼうでいる槽の底立春の樹幹の水を聴きにゆく補助線を引き凍蝶をかがやかすガジュマルの天地玄黄春疾風俳句を短詩型文学と位置づけ、あくまで詩想をその中に追い求めた彼の執念こそが私たちを俳句の王道への道標と言うことであろう。,中井不二男,
ガラスの弓をひく落葉が塞ぐ信仰心,岩谷孔雀,落葉,冬,電通俳句部機関誌『俳句』,,「俳句だけがマンネリズムを遊びごとにして、脱皮されないとすれば亡びるより外ない。文化に従って近代感覚に目覚め、躍進の将来をめざすことが必要である。」とは岩谷孔雀先生がコミュニケイションを業とするA社俳句部の同人誌に賜った序文の一節である。1958年頃のことである。俳句の芸術性を唱導し、人間性を活かす努力こそその根源であるとされた先生の趣旨がその底辺を貫いている。紅い紅葉を拾う指紋が消された砂血涙のニュース山は大きく眠っている殺し屋のあと脚のない虫がなく毛皮着た女神虫が喰う木像アロエ噛む月を磨いた雲が去るなどの句を残されている。そこにあるものは、五七五の俳句定型へのこだわりからの脱皮、そして短詩型俳句の再構築ということであった。岩谷孔雀先生は弟子の指導に関しては、ひとり一人の俳句を添削という形で教えてくださった。孔雀先生は虚子に直接、俳号を貰ったという俳人である。1960年頃は、神戸で『極光』という俳誌の主宰をなさっていた。その俳風は五七五の定型に拘ることなく、自由に短詩型文学としての俳句を追求なさっていた。詩である以上、脚韻、頭韻など詩のリズムについても、さらにはその根源にある「生と死」の問題が詩作の上で、無意識の内にでも採り入れられてなければというのが、先生の意志であった。音楽が音の組み立てで、激しくもなり、穏やかにもなり、あらゆる人間の感情が表現されるように、俳句では『ことば』がその役目を果たす。道具としての『ことば』が豊富でなければどうにもならないし、これまでに採り入れられなかった『ことば』も積極的に、しかも大胆に採り入れることを勧められた先生の意志をこれからも大事にしたい。写真の短冊は「雲を孕んだ初日海老腰まげる孔雀」」,中井不二男,
三鬼の忌近し空気を抜く枕,山﨑十生,三鬼忌,春,悠悠自適入門,,山﨑十生氏は「紫」主宰。「豈」同人。現代俳句協会理事、埼玉県川口市俳句連盟会長、埼玉県現代俳句協会副会長、埼玉県俳句連盟副理事長等俳句の要職を務められ、多忙の人である。このたび刊行の句集『悠悠自適入門』は氏の第8句集であるが、他に4選句集、共著など多数がある。「紫」は先師関口比良男を継いで平成11年に主宰となったが、以来、一党一派に与せず、純正俳句を追求して現在の骨格を形成してきた。また、先師関口比良男は新興俳句を通して高柳重信、西東三鬼とつながっていたが、山﨑氏はそれを受け継いでいる。三鬼の忌近し空気を抜く枕この句は、このような氏の経歴を直接暗示させるものではないが、三鬼の代表句「水枕ガバリと寒い海がある」と枕のイメージを共有して、それにより師の関口比良男から三鬼、高柳重信につながっているようでもある。では、空気を抜く枕は水枕を超えて現代性を獲得しているか。空気を抜く枕は、氏の俳句が思い込みが強く、独りよがりであるという一部の批判を、氏が十分意識して、自分の体内の空気（力み）を抜く思いを反映しているものと思われる。氏の『悠悠自適入門』はこれから、ゆったりと自分の心に合うような俳句を作ってゆくという氏の脱皮宣言でもあろう。このところ、現代俳句協会賞の佳作や次席に推されていることもその証左であり、それを超えてゆく静謐な心境を得んとする氏の心構えを詠みこんだ句であり、まことに氏の代表句にふさわしいと思えるのである。,横坂けんじ,
あなたが死んで宿り木に雪我に雪,原雅子,雪,冬,束の間,,原雅子さんは矢島渚男「梟」の同人。俳句仲間の女性たちが原さんを囲んで作った「扉」句会の代表でもある。1973年から加藤楸邨に師事して「寒雷」に入会。当時、「寒雷」の編集長をしていた平井照敏のお宅に伺い、直接厳しい指導を受けたそうである。そこで、俳句は事実や写生を超えて普遍性、象徴性を獲得する詩としての言葉が生まれる現場をいきいきと体験させられた、と言っている。その後、俳句から一時遠のいていたが、再会してからの活躍はめざましく、2002年現代俳句年度賞、2005年第51回角川俳句賞を受賞。女性俳人の指導的位置を獲得した。掲句の「あなたが死んで宿り木に雪我に雪」発表したとき、「梟」代表の矢島渚男氏から、何事かありましたかと心配の電話があったそうである。それほどこの句にはドラマ性があり、読んだ者にも迫真の衝撃を与えるものがある。事実は小石川植物園に吟行した折、目にした印象を句にしたもので、あなたというのは早稲田露文化卒の年輩の男性で彼女が最も尊敬していた人のようである。その人が亡くなったときの悲しみが宿り木に降りかかった雪に結晶したのであろう。彼女は「月日は人の生死に関わりなく束の間に過ぎますが、顧みれば俳句はその束の間の刻を危うく言葉に繋ぎ止める」営為であると言っている。この句はそのような彼女の代表句であると言っても過言ではない。,横坂けんじ,
俺たちはみんな蓑虫空をみる,児山正明,蓑虫,秋,凍りついた神々,,児山正明氏は埼玉県現代俳句協会副会長、川越市俳句協会会長、「路」俳句会代表である。師系は富沢赤黄男―野原正作―児山正明。最初は短歌雑誌「詩歌」（前田夕暮）に所属していた。川越市で詩・短歌活動を行っているとき野原正作と知り合い交友関係を持つに至った。その野原から改めて俳句活動に専念するようすすめられ、1979年俳句同人誌「路」を創刊し現在に至っている。児山氏の句集は現在のところ、『凍りついた神々』（平成10年2月1日刊行）のみである。彼は「路」経営に全力を挙げていて個人句集を編む余裕がなかったのかもしれない。したがって、『凍りついた神々』には彼の初期の作品が比較的多く収録されている。野原正作を通して富沢赤黄男、高柳重信の多行形式の流れをくんでいる作品が多い。もずく喰い／あすこの山から／雨が降るこの句は多行形式であるとともに「喰い」、「山から」の前後が１字空けられ、つながりを意識的に絶っていて、重信の傾向に同調している。鉛筆の芯折れ白い時間帯この句には富沢赤黄男からの影響がみられる。このような作品傾向は今でも続いていて「裸では恥かしいから風になる」、「大根を洗えば動く人の足」のような作品が生まれている。児山氏は、俳句は吾等の生活の場である。だから吾等の俳句は吾等の生活の場から生まれ来る、とも言っていて、自分の個性を変わらずに主張しながら句作りに励むユニークな俳人であると言えよう。,横坂けんじ,
蛇口から水漏れてゐる花疲れ,横坂けんじ,花疲れ,春,球体・俳論抄,,,,
孑孒にルビ振りたれば動き出す,横坂けんじ,孑孒,夏,球体・俳論抄,,,,
非日常にして生ぬるき蝌蚪の紐,横坂けんじ,蝌蚪,春,球体・俳論抄,,,,
三社祭電気ブランに感電す,横坂けんじ,三社祭,夏,球体・俳論抄,,,,
水中花人はガラスの家に棲む,横坂けんじ,水中花,夏,球体・俳論抄,,,,
大西日駅が途方にくれてゐる,横坂けんじ,大西日,夏,球体・俳論抄,,,,
いなびかり肉屋が肉を吊り上げる,横坂けんじ,雷,夏,球体・俳論抄,,,,
先客は父かも知れず夏座敷,横坂けんじ,夏座敷,夏,球体・俳論抄,,,,
墓洗ひ真正面から老いてゆく,横坂けんじ,墓参,秋,球体・俳論抄,,,,
モーツアルトの音域に置く籐寝椅子,横坂けんじ,籐寝椅子,夏,球体・俳論抄,,,,
白桃は虚のかたまりとして熟れる,横坂けんじ,桃,秋,球体・俳論抄,,,,
新蕎麦や無印良品なる妻と,横坂けんじ,新蕎麦,秋,球体・俳論抄,,,,
ゴム毬に昔へそあり文化の日,横坂けんじ,文化の日,秋,球体・俳論抄,,,,
雪まじり雨は首から骨に入る,横坂けんじ,霙,冬,球体・俳論抄,,,,
電気系統にミスあり熊が出る,横坂けんじ,熊,冬,球体・俳論抄,,,,
冬草やかかとを踏んで靴を履く,横坂けんじ,冬草,冬,「犀」,,,,
立春大吉牛の背中に小鳥来て,横坂けんじ,立春,春,球体・俳論抄,,,,
木枯一号鼻の先から人を見て,横坂けんじ,木枯,冬,「犀」,,,,
ゆく春やガレキの漁船に影がない,横坂けんじ,行く春,春,「都庁俳句」,,,,
春闌けてつくづく脳の隙間かな,横坂けんじ,春深し,春,「犀」,,,,
みちのくや喚びあつてゐるほととぎす,横坂けんじ,時鳥,夏,「つばさ」,,,,
初蝶来あやつり獅子の音に合せ,横坂けんじ,蝶,春,「都庁俳句」,,,,
春風駘蕩たりしチンパンジーのお尻,横坂けんじ,春風,春,「犀」,,,,
ふくしまや白雨に黒い芯がある,横坂けんじ,夕立,夏,「犀」,,,,
戦力外の通知受けたるかぶと虫,横坂けんじ,兜虫,夏,「犀」,,,,
敷石は朝から熱しヒロシマ忌,横坂けんじ,原爆忌,夏,「つばさ」,,,,
水打ちておのれの影を消してゆく,横坂けんじ,打水,夏,「都庁俳句」,,,,
血のめぐり悪くなりゆく吾亦紅,横坂けんじ,吾亦紅,秋,「犀」,,,,
たうがらし即戦力といふちから,横坂けんじ,唐辛子,秋,,,,,
炎天に消えたままなり竹とんぼ,横坂けんじ,炎天,夏,,,,,
汗の馬なほ汗をかくしづかなり,八田木枯,汗,夏,汗馬楽鈔,,,,
汗の馬芒のなかに鏡なす,八田木枯,汗,夏,汗馬楽鈔,,,,
家じゆうの柱のうらの稲光り,八田木枯,稲妻,秋,汗馬楽鈔,,「家じゆう」は句集ママ。,,
いつ来ても枯野にのこる汽笛の尾,八田木枯,枯野,冬,汗馬楽鈔,,,,
外套のままの仮寝に父の霊,八田木枯,外套,冬,汗馬楽鈔,,,,
洗ひ髪身におぼえなき光ばかり,八田木枯,髪洗う,夏,汗馬楽鈔,,,,
うろたへて母の影ふむ小暑なり,八田木枯,小暑,夏,於母影帖,,「暑」は旧字。「者」の日の上に点を打つ。,,
漣に晝寢の母を偸まれし,八田木枯,昼寝,夏,於母影帖,,,,
母とわれいたみわけして葛咲きぬ,八田木枯,葛の花,秋,於母影帖,,,,
母戀ひの春のともしを袖圍ひ,八田木枯,春の灯,春,於母影帖,,,,
またとなき春のゆふべのはねつるべ,八田木枯,春の夕,春,於母影帖,,,,
深淵は空にありけり木賊刈る,八田木枯,木賊刈る,秋,於母影帖,,,,
をそはりしかずにかぎりの手毬うた,八田木枯,手毬,新年,於母影帖,,,,
青あらしあらしは鳥の翅にあり,八田木枯,青嵐,夏,あらくれし日月の鈔,,,,
とび翔たぬ鶴をいぢめて折りにけり,八田木枯,鶴,冬,あらくれし日月の鈔,,,,
手鏡がおぼえてをりし手毬唄,八田木枯,手毬,新年,あらくれし日月の鈔,,,,
まぶしくて少年は死へかたむきぬ,八田木枯,無季,無季,あらくれし日月の鈔,,,,
ねころべば血もまた横に蝶の空,八田木枯,蝶,春,あらくれし日月の鈔,,,,
鼠たち春のいくさに出払ひぬ,八田木枯,春,春,あらくれし日月の鈔,,,,
草餅やひとさしゆびはそびえけり,八田木枯,草餅,春,あらくれし日月の鈔,,,,
切口を見せて水ゆく夏ゆふべ,八田木枯,夏の夕,夏,天袋,,,,
血の中に蒼き血もあり憂國忌,八田木枯,憂国忌,冬,天袋,,,,
ゆふぐれは紙の音する櫻まじ,八田木枯,桜,春,天袋,,,,
子規の倍生きて忌日を尊とべる,八田木枯,子規忌,秋,天袋,,,,
鬼房を句敵ににして菊を食ぶ,八田木枯,菊,秋,天袋,,,,
風鶴忌ふところ手よく似合ふ人,八田木枯,波郷忌,冬,天袋,,,,
酸つぱけれ三橋敏雄夏男,八田木枯,夏,夏,天袋,,,,
天袋よりおぼろ夜をとり出しぬ,八田木枯,朧,春,天袋,,,,
箱に入るくぐつの髪は溢れけり,八田木枯,傀儡師,新年,夜さり,,,,
鳥帰る波のうしろも濡れてゐて,八田木枯,鳥帰る,春,夜さり,,,,
鞦韆をゆらして老を鞣しけり,八田木枯,ぶらんこ,春,夜さり,,,,
春のくれ我も近所の人ならむ,八田木枯,春の暮,春,夜さり,,,,
井戸のぞくときに顔あり暮の春,八田木枯,春の暮,春,夜さり,,,,
晝寝より覚めしところが現住所,八田木枯,昼寝,夏,夜さり,,,,
正体の無くなるまでに桃冷えし,八田木枯,桃,秋,夜さり,,,,
ふたりして笑うてをりぬ墓参人,八田木枯,墓参,秋,夜さり,,,,
生きてゐるうちは老人雁わたし,八田木枯,雁渡し,秋,夜さり,,,,
鏡荒れ鶴はたちまち妊りぬ,八田木枯,鶴,冬,夜さり,,,,
太陽は古く新し敏雄の日,八田木枯,三橋敏雄忌,冬,夜さり,,,,
寒靄や老は泳いでゐるごとし,八田木枯,冬の靄,冬,鏡騒,,,,
鎌倉の虚子の余寒に會ひにゆく,八田木枯,余寒,春,鏡騒,,,,
殘花かな藤田湘子のめがねかな,八田木枯,残花,春,鏡騒,,,,
剃刀にふれし揚羽は熱からむ,八田木枯,夏の蝶,夏,鏡騒,,,,
原爆忌折鶴に足なかりけり,八田木枯,原爆忌,夏,鏡騒,,,,
金魚死に幾日か過ぎさらに過ぎ,八田木枯,金魚,夏,鏡騒,,,,
よく澄める水のおもては痛からむ,八田木枯,水澄む,秋,鏡騒,,,,
日向ぼこもまれて亡者はみ出しぬ,八田木枯,日向ぼこ,冬,鏡騒,,,,
亡き母が障子あけずに入り來し,八田木枯,障子,冬,鏡騒,,,,
元朝の陽の射す書架に師の句集,川辺幸一,元朝,新年,海鳥,,,,
雑煮膳男子直系揃いたり,川辺幸一,雑煮,新年,海鳥,,,,
みちのくの海の明かりを思う蟇,川辺幸一,蟇,夏,海鳥,,,,
瓦礫からたんぽぽが咲く啄木忌,川辺幸一,蒲公英,春,海鳥,,,,
真向かいに芽吹く白樺朝の卓,川辺幸一,木の芽,春,海鳥,,,,
湖の精はソプラノ木々芽吹く,川辺幸一,木の芽,春,海鳥,,,,
春の雪清少納言の声がする,川辺幸一,春の雪,春,海鳥,,,,
マンボウと宙を泳ぐや大朝寝,川辺幸一,朝寝,春,海鳥,,,,
饒舌な柿の芽があり目が痒い,川辺幸一,木の芽,春,海鳥,,,,
児を呼べば犬が応えるげんげかな,川辺幸一,紫雲英,春,海鳥,,,,
いっぽんを見つけてよりのつくしんぼ,川辺幸一,土筆,春,海鳥,,,,
春の陽を背に受く羅漢献体論,川辺幸一,春の日,春,海鳥,,,,
粗にあらず京の野菜に豆の飯,川辺幸一,豆飯,夏,海鳥,,,,
若葉冷えサイフォンの水昇りゆく,川辺幸一,若葉,夏,海鳥,,,,
若葉風玄武の首が伸びあがる,川辺幸一,若葉,夏,海鳥,,,,
子つばめのすでに異なるこころざし,川辺幸一,燕の子,夏,海鳥,,,,
青葉潮ベンチの陰を濃くしたり,川辺幸一,若葉,夏,海鳥,,,,
葉桜の幹が濡れいる遠汽笛,川辺幸一,葉桜,夏,海鳥,,,,
足るを知るそう言われても青蛙,川辺幸一,雨蛙,夏,海鳥,,,,
青潮へジャズのリズムの雨がいく,川辺幸一,夏の潮,夏,海鳥,,,,
割り切れぬ偶数思う熱帯夜,川辺幸一,暑し,夏,海鳥,,,,
魚塚も包丁塚も蓮の風,川辺幸一,蓮の花,夏,海鳥,,,,
朝粥を北京の人と花槐,川辺幸一,槐の花,夏,海鳥,,,,
螢の夜ヒトにアダムとイブがあり,川辺幸一,螢,夏,海鳥,,,,
青芒古い記憶に聡くなる,川辺幸一,青芒,夏,海鳥,,,,
不確かな父の座ぬるきビール飲む,川辺幸一,ビール,夏,海鳥,,,,
零余子飯今言うことを忘れたり,川辺幸一,零余子飯,秋,海鳥,,,,
花芙蓉指を隠して計算す,川辺幸一,芙蓉,秋,海鳥,,,,
たわわなる柿の実にある倦怠期,川辺幸一,柿,秋,海鳥,,,,
秋草は一輪がよしジャズを聞く,川辺幸一,秋草,秋,海鳥,,,,
ゆっくりと曳いて零余子を零したり,川辺幸一,零余子,秋,海鳥,,,,
眼が険し生きるつもりの枯蟷螂,川辺幸一,枯蟷螂,冬,海鳥,,,,
太平洋余生というは鰯雲,川辺幸一,鰯雲,秋,海鳥,,,,
極楽は平らと思う芒原,川辺幸一,芒,秋,海鳥,,,,
檣頭が大きく揺れる鰯雲,川辺幸一,鰯雲,秋,海鳥,,,,
白樺の私語聞きに行く霧の奥,川辺幸一,霧,秋,海鳥,,,,
軍港の眠り足りない月見草,川辺幸一,月見草,夏,海鳥,,,,
曇りなき空を仰ぐやレノンの忌,川辺幸一,レノン忌,冬,海鳥,,,,
反骨の形に暮れる枯銀杏,川辺幸一,名の木枯る,冬,海鳥,,,,
日を呑んだあとの一刻冬の海,川辺幸一,冬の海,冬,海鳥,,,,
方丈記冬至南瓜に陽が届く,川辺幸一,冬至,冬,海鳥,,,,
朴の木に一枚の意地よく晴れる,川辺幸一,朴落葉,冬,海鳥,,,,
落武者の意思持ち蟷螂枯れていく,川辺幸一,枯蟷螂,冬,海鳥,,,,
住職がまじっておりぬ薬喰,川辺幸一,薬喰,冬,海鳥,,,,
着飾って貧しさを言う一葉忌,川辺幸一,一葉忌,冬,海鳥,,,,
草食系男子甘納豆は粘らない,川辺幸一,無季,無季,海鳥,,,,
バッカスもアポロンもある樹氷原,川辺幸一,樹氷,冬,海鳥,,,,
夜の冷え遺稿の文字が声となる,川辺幸一,夜寒,秋,海鳥,,,,
小春日のチョークは軽く指にあり,川辺幸一,小春日,冬,海鳥,,,,
湯がたぎる闇のどこかで竹が割れ,川辺幸一,無季,無季,海鳥,,,,
霧のはじまりは断崖よじのぼる,鈴木勁草,霧,秋,風の背中,,昭和60年代の鈴木勁草は居を千葉県に移し、日夜を問わず暇を見ては印旛沼とその周辺を逍遥した。一日に20粁以上歩を伸ばすこともたびたびで、上総の自然と対峙しつつ野の起伏そのままを身体に取り入れていった。あざみ鋸葉ばりりと夕日つかむかな運河をのぼる丸太るいるいと春なり荒神輿荒山車出よや青印旛虫の夜はびっしり虫の眼で埋まる冬田の家月日の中に釘うたるこの頃から金子兜太を師と仰ぐようになる。秩父の道場へも通い膝下で俳論を交わすこともあったという。代表をつとめていた同人誌「礁」の最終号、鈴木勁草追悼号に文章がある。「勁草の名の通り、感性の激しい俳句で、私にはことに魅力的でした。批評も正直一途。歯に衣着せぬ物言いは爽快でした。好漢を失った思いにとらわれています。金子兜太」断崖に押し寄せる霧は、あたかもそこが始まりであるかのような勢いで湧き出している。印旛沼周辺の地形はなだらかで森が点在する程度だが、夏から秋にかけて、ある早朝一帯が激しく霧に閉ざされることがある。駒草よ雲とつながらない私斑雪鳥海山(ちょうかい)天にぶつかる熊ン蜂竿灯祭りのこと峰雲に聞いたよ望郷の俳句は少ないが、40年以上故郷を離れていても産土への絶ちがたい思いは常にあったのだろう。平成12年、「礁」の句会に出席した翌月、異常を感じて受診したとき、すでに残る命は6か月と宣告され、その通りの人生となった。,永井潮,
紅葉の賀わたしら火鉢あつても無くても,阿波野青畝,紅葉,秋,,,,,
おのれ炎えて氷の中のさくらんぼ,沖田佐久子,さくらんぼ,夏,,,,,
大噴火秘め初富士の翳りなし,永井潮,初富士,新年,,,,,
橋のなき橋の地名や初御空,永井潮,初空,新年,,,,,
雪吊りを解かれし松の深呼吸,永井潮,雪吊,冬,,,,,
雪女ためらいがちに句を直す,永井潮,雪女郎,冬,,,,,
春を待つ有袋類となっている,永井潮,春待つ,冬,,,,,
霜おりてあの人が毀れはじめる,永井潮,霜,冬,,,,,
寒鴉淋しいときは笑い出す,永井潮,寒鴉,冬,,,,,
日向ぼこ使わぬ骨があたたまる,永井潮,日向ぼこ,冬,,,,,
おぼろにて丸し佳人の言葉尻,永井潮,朧,春,,,,,
ていねいに包む春愁小風呂敷,永井潮,春愁,春,,,,,
蝌蚪の尾のひりひり痛む夜もあらむ,永井潮,蝌蚪,春,,,,,
孤独死やタンポポの絮風運ぶ,永井潮,蒲公英,春,,,,,
春風に脇の甘さを突かれけり,永井潮,春,春,,,,,
夜桜や死んで陸軍上等兵,永井潮,夜桜,春,,,,,
逃げ水の先を別れた人歩く,永井潮,逃げ水,春,,,,,
青春の過ちの嵩かき氷,永井潮,氷水,夏,,,,,
蟬の穴辿れば火宅あるごとし,永井潮,蟬,夏,,,,,
水疲れもう噴水に戻れない,永井潮,噴水,夏,,,,,
水打って失いし日が匂いだす,永井潮,打水,夏,,,,,
八月は蛹で過ごすことにする,永井潮,八月,秋,,,,,
黙祷の地にるいるいと黒日傘,永井潮,日傘,夏,,,,,
リヤカーで八月の海売り歩く,永井潮,八月,秋,,,,,
莫迦なことしてしまいけりねこじゃらし,永井潮,狗尾草,秋,,,,,
萩寺の萩よく見れば涙ぐむ,永井潮,萩,秋,,,,,
冷戦のころ鈴虫を飼いいたり,永井潮,鈴虫,秋,,,,,
初時雨宇治十帖にさしかかる,永井潮,時雨,冬,,,,,
立冬と黒板に音立てて書く,永井潮,立冬,冬,,,,,
枯野まで杭打ち今日を終わらせる,永井潮,枯野,冬,,,,,
男一人足して枯野が釣り合えり,永井潮,枯野,冬,,,,,
数万の落葉が息をしていない,永井潮,落葉,冬,,,,,
フクシマや晩夏の海の黒より黒,中内亮玄,晩夏,夏,第30回現代俳句新人賞「ゲルニカ」,,,,
蜩は僕らを刻むように鳴き,中内亮玄,蜩,秋,第30回現代俳句新人賞「ゲルニカ」,,,,
少年の如し眠り二百十日,中内亮玄,二百十日,秋,第30回現代俳句新人賞「ゲルニカ」,,,,
ケータイ握り海のどこにも繋がらず,中内亮玄,無季,無季,第30回現代俳句新人賞「ゲルニカ」,,,,
春玉葱のひとつ耐え難い孤独,中内亮玄,春,春,第30回現代俳句新人賞「ゲルニカ」,,,,
風がある昔誰かの蒼だった,中内亮玄,無季,無季,第30回現代俳句新人賞「ゲルニカ」,,,,
桜散る余白をすべて手離して,中内亮玄,落花,春,第30回現代俳句新人賞「ゲルニカ」,,,,
青春が星を流してしまいけり,中内亮玄,無季,無季,第30回現代俳句新人賞「ゲルニカ」,,,,
君ひとり桜はいつも風の葬,中内亮玄,桜,春,第30回現代俳句新人賞「ゲルニカ」,,,,
しゃれこうべ空梅雨雑居ビルの奥,中内亮玄,空梅雨,夏,第30回現代俳句新人賞「ゲルニカ」,,,,
本当は泳げないのですかたつむり,中内亮玄,蝸牛,夏,第30回現代俳句新人賞「ゲルニカ」,,,,
木漏れ日や買い物がてら飛び降りる,中内亮玄,無季,無季,第30回現代俳句新人賞「ゲルニカ」,,,,
陽炎や戦争知らず英霊と呼べず,中内亮玄,陽炎,春,第30回現代俳句新人賞「ゲルニカ」,,,,
それぞれの寝覚めカワウソも兵隊も,中内亮玄,無季,無季,第30回現代俳句新人賞「ゲルニカ」,,,,
明け易し少女に新品の手足,中内亮玄,短夜,夏,第30回現代俳句新人賞「ゲルニカ」,,,,
依願退職耳が軋んで真葛原,中内亮玄,葛,秋,第30回現代俳句新人賞「ゲルニカ」,,,,
その曲の名も知らないのです月見草,中内亮玄,月見草,夏,第30回現代俳句新人賞「ゲルニカ」,,,,
十五夜のみんな普通に生きる歌,中内亮玄,名月,秋,第30回現代俳句新人賞「ゲルニカ」,,,,
サンダルをひっかけ彼女戦場へ,中内亮玄,無季,無季,第30回現代俳句新人賞「ゲルニカ」,,,,
いつまでもサイレン降り止まぬよ雨月,中内亮玄,雨月,秋,第30回現代俳句新人賞「ゲルニカ」,,,,
蟹の腹いつか哀しくなるいのち,中内亮玄,蟹,夏,第30回現代俳句新人賞「ゲルニカ」,,,,
欲望のついでに雪を掬ってみる,中内亮玄,雪,冬,第30回現代俳句新人賞「ゲルニカ」,,,,
寒落暉その淋しさを食い繋ぐ,中内亮玄,寒落暉,冬,第30回現代俳句新人賞「ゲルニカ」,,,,
孔雀啼く虹を激しく咀嚼して,中内亮玄,虹,夏,第30回現代俳句新人賞「ゲルニカ」,,,,
肺まで雪染みてポケットに拳ある,中内亮玄,雪,冬,第30回現代俳句新人賞「ゲルニカ」,,,,
線路というにわかに冷えた親子かな,中内亮玄,冷やか,秋,第30回現代俳句新人賞「ゲルニカ」,,,,
眼ふたつ冬のブランコ揺れはじめ,中内亮玄,冬,冬,第30回現代俳句新人賞「ゲルニカ」,,,,
僕を見てと見てと少年風を打つ,中内亮玄,無季,無季,第30回現代俳句新人賞「ゲルニカ」,,,,
冬の雷ガシャンと散った足の指,中内亮玄,冬の雷,冬,第30回現代俳句新人賞「ゲルニカ」,,,,
横顔を擦りむいている冬の風,中内亮玄,北風,冬,第30回現代俳句新人賞「ゲルニカ」,,,,
鳥雲に解法降りてきたりけり,柏柳明子,鳥雲に,春,第30回現代俳句新人賞「銀河系」,,,,
春の雪縄文人の話かな,柏柳明子,春の雪,春,第30回現代俳句新人賞「銀河系」,,,,
てのひらのやはらか春の星ほどに,柏柳明子,春の星,春,第30回現代俳句新人賞「銀河系」,,,,
桜貝拾ふからだのメロディに,柏柳明子,桜貝,春,第30回現代俳句新人賞「銀河系」,,,,
野遊びの同じ名前に振り向かれ,柏柳明子,野遊び,春,第30回現代俳句新人賞「銀河系」,,,,
しやぼん玉平均律の震へかな,柏柳明子,石鹸玉,春,第30回現代俳句新人賞「銀河系」,,,,
はつてふの竪琴の音をこぼしをり,柏柳明子,蝶,春,第30回現代俳句新人賞「銀河系」,,,,
一本は転校生の桜かな,柏柳明子,桜,春,第30回現代俳句新人賞「銀河系」,,,,
神様のかんたんな顔新樹風,柏柳明子,新樹,夏,第30回現代俳句新人賞「銀河系」,,,,
緑さす水面の暮れてゆきにけり,柏柳明子,新緑,夏,第30回現代俳句新人賞「銀河系」,,,,
日曜日レースカーテン越しの街,柏柳明子,無季,無季,第30回現代俳句新人賞「銀河系」,,,,
蟬の声網のごとくに広ごれり,柏柳明子,蟬,夏,第30回現代俳句新人賞「銀河系」,,,,
緋のダリアジャズシンガーの揮発する,柏柳明子,ダリア,夏,第30回現代俳句新人賞「銀河系」,,,,
茗荷掘る黄泉の入口近くにて,柏柳明子,茗荷の花,秋,第30回現代俳句新人賞「銀河系」,,,,
銀河系ピアノのペダル踏む素足,柏柳明子,跣足,夏,第30回現代俳句新人賞「銀河系」,,,,
新涼や自分の影の上歩く,柏柳明子,新涼,秋,第30回現代俳句新人賞「銀河系」,,,,
湖の小さく見ゆる墓参かな,柏柳明子,墓参,秋,第30回現代俳句新人賞「銀河系」,,,,
てのひらの隕石の匂ひ秋の昼,柏柳明子,秋の昼,秋,第30回現代俳句新人賞「銀河系」,,,,
レコードの針の戻りし良夜かな,柏柳明子,良夜,秋,第30回現代俳句新人賞「銀河系」,,,,
鏡花忌のＭＲＩへ四肢潜る,柏柳明子,鏡花忌,秋,第30回現代俳句新人賞「銀河系」,,,,
烏瓜ぱちんと心療内科かな,柏柳明子,烏瓜,秋,第30回現代俳句新人賞「銀河系」,,,,
鈴の音の聞こえてきたり秋ひと日,柏柳明子,秋の日,秋,第30回現代俳句新人賞「銀河系」,,,,
まつすぐにルージュを引きて山眠る,柏柳明子,山眠る,冬,第30回現代俳句新人賞「銀河系」,,,,
湯上がりのごと雲間の冬満月,柏柳明子,冬の月,冬,第30回現代俳句新人賞「銀河系」,,,,
寝転べば金管楽器となる寒夜,柏柳明子,冬の夜,冬,第30回現代俳句新人賞「銀河系」,,,,
くつさめや車窓の我と目の合ひぬ,柏柳明子,嚔,冬,第30回現代俳句新人賞「銀河系」,,,,
調弦のやうに降り出し十二月,柏柳明子,十二月,冬,第30回現代俳句新人賞「銀河系」,,,,
寒の梅紅茶の細く注がれぬ,柏柳明子,冬の梅,冬,第30回現代俳句新人賞「銀河系」,,,,
